date,312,313,314,315,316,317,318,319,OT
7/1/2016 02:00,372,80100,4719,5002,48,38,1558,182,0.236961451
7/1/2016 03:00,452,95200,4643,6617,65,47,2177,253,0.20819161
7/1/2016 04:00,430,96600,4285,6571,64,43,2193,218,0.186295351
7/1/2016 05:00,291,94500,4222,6365,65,39,1315,195,0.169642857
7/1/2016 06:00,279,91300,4116,6298,75,40,1378,191,0.162910998
7/1/2016 07:00,389,87000,4259,5548,64,39,1250,185,0.166241497
7/1/2016 08:00,410,84100,4432,4275,65,49,1818,191,0.180059524
7/1/2016 09:00,423,83900,4322,4411,69,55,2017,192,0.199971655
7/1/2016 10:00,465,79800,4140,5638,77,40,1261,204,0.199121315
7/1/2016 11:00,1479,81000,5280,7593,80,38,1228,190,0.194657029
7/1/2016 12:00,1405,86500,5133,9387,78,36,1270,211,0.203018707
7/1/2016 13:00,1487,88800,5306,9365,81,38,1440,211,0.211876417
7/1/2016 14:00,1581,122500,10905,9365,78,38,1879,196,0.214356576
7/1/2016 15:00,1630,123600,11851,9479,80,45,1960,202,0.214427438
7/1/2016 16:00,1472,133000,12120,9730,78,59,1605,192,0.211096939
7/1/2016 17:00,1610,133100,12546,9888,82,33,1515,201,0.208049887
7/1/2016 18:00,1454,132000,12478,9842,78,32,1474,195,0.219812925
7/1/2016 19:00,1611,144300,13791,11320,82,46,1643,186,0.281391723
7/1/2016 20:00,1686,166700,14271,11843,79,46,1629,182,0.362670068
7/1/2016 21:00,1544,160700,13183,12000,81,49,1956,182,0.367913832
7/1/2016 22:00,1640,168000,12619,11797,78,53,2017,177,0.363307823
7/1/2016 23:00,1517,159400,12395,12024,82,33,2184,186,0.353741497
7/2/2016 00:00,1425,162700,10855,9751,67,46,2209,295,0.33106576
7/2/2016 01:00,752,150900,7424,8024,65,50,2239,347,0.293650794
7/2/2016 02:00,343,112200,6341,6433,65,53,2199,248,0.251062925
7/2/2016 03:00,263,71600,4343,5388,65,47,2009,199,0.223497732
7/2/2016 04:00,258,68600,4284,5069,65,46,2051,180,0.2069161
7/2/2016 05:00,256,66900,4087,4797,64,33,2065,199,0.199404762
7/2/2016 06:00,253,61900,4010,4184,65,48,2134,228,0.201955782
7/2/2016 07:00,386,60400,4145,4161,64,38,2278,197,0.219246032
7/2/2016 08:00,434,55900,4369,4343,65,56,2304,212,0.265235261
7/2/2016 09:00,287,54300,4369,4570,70,58,2344,524,0.343253968
